strategy,capacity_kwh,power_kw,capex,annual_bill,imported_kwh,exported_kwh,netted_kwh,savings_per_kwh,annual_savings,npv,irr,payback_years,self_consumption,self_sufficiency,cycles_per_year
economic,2.5,1.25,1400.0,626.4470405843783,4253.367897597604,3807.0405228509835,0.0,80.72928951752974,201.82322379382435,584.2546069687173,0.09794643100063233,7.3951505705328735,0.4024135389067828,0.543978286648083,332.63167472002874
economic,5.0,2.5,2400.0,479.00960365085086,3615.9380306145904,3100.244693092879,0.0,69.85213214547036,349.2606607273518,1033.807378823526,0.09968427310669989,7.320155537468229,0.52161206065522,0.7263196899165474,301.09297817103726
economic,7.5,3.75,3400.0,383.56178923586367,3155.0717275763495,2589.6872212549606,0.0,59.294463352311865,444.708475142339,972.2165565082043,0.08059341703570336,8.215817088952466,0.606903688036575,0.8084885356354452,266.984501028313
economic,10.0,5.0,4400.0,318.90762459955073,2827.3322364311966,2225.901929328657,0.0,50.936263977865195,509.36263977865195,607.8734528145233,0.060177724303341576,9.390567198117083,0.668067295393198,0.8282233561317364,234.70000162250471
economic,15.0,7.5,6400.0,223.7037556895329,2330.3140160767134,1674.1065651415051,0.0,40.304433912577984,604.5665086886697,-456.1157554892194,0.02907381484111904,11.777620392445229,0.7604476234502201,0.8318419188767271,191.73085394251333
green,2.5,1.25,1400.0,661.5413513448443,4007.9435734683325,3577.6359724820354,0.0,77.15512973483983,192.88782433709957,496.40491750372087,0.08974076561348962,7.765305489155029,0.40238442639720406,0.5149937843741674,292.05337153654693
green,5.0,2.5,2400.0,516.8676514904043,3363.828374883292,2865.1191319445948,0.0,67.51230483830791,337.56152419153955,918.7856031707096,0.09345301161929448,7.594489711182468,0.5214046854829887,0.6884589365652611,274.84972548528157
green,7.5,3.75,3400.0,424.21800461584616,2899.0508614054415,2351.314407869414,0.0,57.3614894754797,430.21117106609773,829.6841865402429,0.07490824811820282,8.51864818624329,0.6072316693516101,0.7613417257717298,245.2034854539011
green,10.0,5.0,4400.0,360.6764535313888,2567.667464801031,1985.3147994434742,0.0,49.37527221505551,493.7527221505551,454.4022596301571,0.05519450418540878,9.718120525898573,0.6683689867338817,0.7793144574210755,217.0409537508669
green,15.0,7.5,6400.0,267.43693208972604,2067.199723750666,1433.1483273655078,0.0,39.13281623948119,586.9922435922178,-628.8997187329543,0.02482702539695874,12.176976395658652,0.7606039948434897,0.782216739964737,178.0584852372689
